PSDB | CANDIDATO | EVANDRO BUQUERA DE FREITAS OLIVEIRA JUNIOR | 20569527000149,64467,0.02355148991304597747
PT | CANDIDATO | PAULO CESAR TIRI GOMES | 20576317000188,2162,0.00000000000000000000
PSC | CANDIDATO | GILSON DE SOUZA | 20566614000142,34470,0.00000000000000000000
PPS | CANDIDATO | ELISSANDRO DA SILVA BUENO | 20573590000159,608,0.00000000000000000000
PPL | CANDIDATO | JOEL OLIVÉRIO | 20571465000100,552,0.00000000000000000000
PTC | CANDIDATO | WILMA JULIA WERMER | 20679993000187,81,0.00000000000000000000
PDT | CANDIDATO | CARLOS CESAR MARTINS | 20576855000172,1779,0.00000000000000000000
PSDB | CANDIDATO | HAMILTON LUIZ SERIGHELLI | 20572309000163,2908,0.00000000000000000000
PSOL | CANDIDATO | ADMISIO RAIMUNDO DE SOUZA | 20559293000159,271,0.00000000000000000000
PSDB | CANDIDATO | MIRIAM DE JESUS FERREIRA | 20571354000101,165,0.00000000000000000000
PP | CANDIDATO | MARCO ANTONIO ANDREOTTI | 20572363000109,2784,0.00000000000000000000
PMDB | CANDIDATO | MARCUS ANTONIO ELIAS ROQUE | 20572924000170,12643,0.00000000000000000000
DEM | CANDIDATO | NELSON ROBERTO PLACIDO SILVA JUSTUS | 20569922000121,43446,0.00000000000000000000
DEM | CANDIDATO | LUIZ AUGUSTO PINHO DE QUEIROGA | 20573258000194,10350,0.00000000000000000000
PV | CANDIDATO | RENALDO RODRIGUES | 20572439000104,7935,0.00000000000000000000
PSL | CANDIDATO | SEBASTIAO CANDIDO DA SILVA | 20571094000166,101,0.00000000000000000000
PPS | CANDIDATO | HARDY GUEDES ALCOFORADO FILHO | 20569511000136,386,0.00000000000000000000
PTN | CANDIDATO | MARI LILIAN DA CRUZ | 20604156000199,225,0.00000000000000000000
PSC | CANDIDATO | WILMAR REICHEMBACH | 20571222000171,25452,0.00000000000000000000
PP | CANDIDATO | VILSON LUCIANO SANTINI | 20569063000170,7158,0.00000000000000000000
PTN | CANDIDATO | MAURÍCIO ROBERTO RIVABEM | 20576925000192,12744,0.00000000000000000000
PT | CANDIDATO | LENIR CANDIDA DE ASSIS | 20576810000106,13425,0.00000000000000000000
PSDC | CANDIDATO | TARAS KAZYMYRKO | 20581656000152,213,0.00000000000000000000
PV | CANDIDATO | TALEL HADAYA | 20571993000169,98,0.00000000000000000000
SD | CANDIDATO | FERNANDA QUEIROZ | 20573946000154,7437,0.00000000000000000000
PSB | CANDIDATO | JANETE MICHAKI | 20573399000107,104,0.00000000000000000000
PSL | CANDIDATO | NOEL CARLOS DE LIMA | 20572606000109,176,0.00000000000000000000
PSDB | CANDIDATO | UDO SCHMIDT NETO | 20572619000188,4151,0.00000000000000000000
PSL | CANDIDATO | CARLOS AUGUSTO DA SILVA | 20578849000154,1147,0.00000000000000000000
PR | CANDIDATO | ANTONIO SERGIO CAMPANHA RIBEIRO | 20572966000100,2975,0.00000000000000000000
PTN | CANDIDATO | ADRIANA COCCI DE MORAES | 20604151000166,8081,0.00000000000000000000
PPS | CANDIDATO | GISELE REGINA ADAMOWICZ REBELLO | 20573166000104,77,0.00000000000000000000
SD | CANDIDATO | ROSELI LIMA DA COSTA | 20578151000139,48,0.00000000000000000000
PSTU | CANDIDATO | ALEXANDRE DOS SANTOS | 20576132000173,341,0.00000000000000000000
PSDB | CANDIDATO | BERNARDO GUIMARAES RIBAS CARLI | 20569670000130,55481,0.00000000000000000000
PSC | CANDIDATO | CLAUDIA VANESSA DE SOUZA FONTOURA PEREIRA | 20564036000105,29379,0.00000000000000000000
PSC | CANDIDATO | LUIS RAIMUNDO CORTI | 20572123000104,20495,0.00000000000000000000
PV | CANDIDATO | LUCIANA SOARES FERREIRA | 20755122000103,372,0.00000000000000000000
PSD | CANDIDATO | DA GONÇALVES CORTEZ | 20592441000137,8581,0.00000000000000000000
PSC | CANDIDATO | MARCIO LUIZ GONÇALVES KAMMERS | 20569151000172,0,0.00000000000000000000
PSC | CANDIDATO | LINDAMAR DA SILVA QUEIROZ | 20571996000100,1,0.00000000000000000000
PSC | CANDIDATO | RICARDO ARRUDA NUNES | 20564263000130,23592,0.00000000000000000000
PSL | CANDIDATO | ANTONIO MIGUEL PINTO NETO | 20572304000130,446,0.00000000000000000000
PP | CANDIDATO | DIVONSIR EMANOEL FERREIRA | 20609014000114,392,0.00000000000000000000
PSOL | CANDIDATO | JOSÉ ODENIR VIATROSKI SANT ANA | 20559137000198,554,0.00000000000000000000
PSL | CANDIDATO | PEDRO APARECIDO DOMINGOS | 20572399000192,447,0.00000000000000000000
PV | CANDIDATO | JOAO RICARDO WOLLMANN | 20572512000130,848,0.00000000000000000000
PMDB | CANDIDATO | ELOIR DE ALMEIDA GONÇALVES | 20572754000123,584,0.00000000000000000000
PSL | CANDIDATO | AGENOR DE SOUZA LEAL NETO | 20573546000149,1074,0.00000000000000000000
PP | CANDIDATO | NILSON DOS SANTOS BEZERRA | 20571951000128,3039,0.00000000000000000000
PSDC | CANDIDATO | ELTON ANDRE WINK TECCHIO | 20576188000128,385,0.00000000000000000000
PSC | CANDIDATO | ELICIANE APARECIDA DA SILVA | 20569049000177,16,0.00000000000000000000
PMN | CANDIDATO | MANOEL BATISTA DA SILVA JUNIOR | 20573211000120,62707,0.00000000000000000000
PTC | CANDIDATO | CLETO TAMANINI | 20581407000167,3004,0.00000000000000000000
PRTB | CANDIDATO | TEREZA APARECIDA ADAMO MONTREZOL | 20571361000103,316,0.00000000000000000000
PV | CANDIDATO | JANETE APARECIDA BARTOSKI LAROCA DOS SANTOS | 20572010000109,324,0.00000000000000000000
PSD | CANDIDATO | RUBENS RECALCATTI | 20578294000140,40358,0.00000000000000000000
PSC | CANDIDATO | OLIZETE MARIA JUNGLES | 20571330000144,323,0.00000000000000000000
PPS | CANDIDATO | SERGIO LUIZ CASTILHO DAITSCHMAN | 20571291000185,885,0.00000000000000000000
PSC | CANDIDATO | ANGELLO AUGUSTO ROMÃO MANFRINATO | 20573658000108,11278,0.00000000000000000000
PPS | CANDIDATO | MONICA MARIA COSER | 20569103000184,1362,0.00000000000000000000
PPL | CANDIDATO | JANAINA DO ROCIO MOTA LISBOA | 20572440000120,365,0.00000000000000000000
PPS | CANDIDATO | ALEXANDRO REGINALDO ALVES MILDEMBERGER | 20573395000129,1059,0.00000000000000000000
PSDB | CANDIDATO | JOSÉ DIRCEU DE MATOS | 20570939000107,4479,0.00000000000000000000
PV | CANDIDATO | HOMERO FIGUEIREDO LIMA E MARCHESE | 20569371000104,12658,0.00000000000000000000
PDT | CANDIDATO | ROSELI BANDEIRA DE ASSIS CAVALLI | 20577869000100,7358,0.00000000000000000000
PC do B | CANDIDATO | ELENITA LANZNASTER ANDRADE BATISTA | 20576685000126,135,0.00000000000000000000
PSB | CANDIDATO | CONCEIÇÃO APARECIDA MENDES | 20570160000183,185,0.00000000000000000000
PP | CANDIDATO | GESSANI DA SILVA | 20573323000181,16938,0.00000000000000000000
PV | CANDIDATO | RICARDO NUNES CIRQUEIRA | 20569564000157,479,0.00000000000000000000
PTN | CANDIDATO | LUIZ ANTONIO FERREIRA PEREIRA | 20576931000140,488,0.00000000000000000000
PV | CANDIDATO | MARCIO ROSA DA SILVA | 20568829000100,7433,0.00000000000000000000
PPS | CANDIDATO | EDILSON FERNANDES | 20633816000160,2409,0.00000000000000000000
PV | CANDIDATO | NILSON MISSIAS DA SILVA | 20569007000136,756,0.00000000000000000000
PT | CANDIDATO | MÁRIO SÉRGIO VERRI | 20579779000159,27505,0.00000000000000000000
PSDC | CANDIDATO | NERY BRAZ | 20622927000170,95,0.00000000000000000000
PSDB | CANDIDATO | JOÃO GALDINO DE SOUZA | 20569529000138,14574,0.00000000000000000000
PTB | CANDIDATO | JUVENAL PEREIRA DE OLIVEIRA | 20576803000104,215,0.00000000000000000000
PSOL | CANDIDATO | CHRISTIANE ELIZABETH RIGHETTO | 20559486000100,1377,0.00000000000000000000
PSL | CANDIDATO | NORBERTO MOIMAZ | 20571351000160,720,0.00000000000000000000
PCB | CANDIDATO | KARIN COMERLATTO DA ROSA | 20569484000100,1550,0.00000000000000000000
PR | CANDIDATO | MÁRIO CORREA FARIA JUNIOR | 20573037000116,4382,0.00000000000000000000
PSC | CANDIDATO | MARCIO FERNANDO NUNES | 20567306000131,45105,0.00000000000000000000
PSC | CANDIDATO | LUIZ EDUARDO CASAGRANDE | 20570700000129,3328,0.00000000000000000000
PV | CANDIDATO | GHIBSON YURI PEREIRA | 20569930000178,45,0.00000000000000000000
SD | CANDIDATO | REINALDO JOSE ROCHA | 20578840000143,4332,0.00000000000000000000
PPS | CANDIDATO | VERONI FRIEDRICH | 20579032000109,338,0.00000000000000000000
PSL | CANDIDATO | ULISSES FALCI JUNIOR | 20569178000165,8863,0.00000000000000000000
PT | CANDIDATO | NADIR MACIEL | 20576842000101,4347,0.00000000000000000000
PEN | CANDIDATO | ADAIR FERREIRA DE ALMEIDA | 20576271000105,389,0.00000000000000000000
PTB | CANDIDATO | MARIA DA CONCEICAO MARTINS MISUMI | 20577020000137,35,0.00000000000000000000
PSDB | CANDIDATO | RÔMULO JOSÉ CARVALHO COSTA PALES | 20569665000128,75,0.00000000000000000000
PDT | CANDIDATO | NELSON LAURO LUERSEN | 20576592000100,37316,0.00000000000000000000
PRB | CANDIDATO | DANIEL JOSE DIAS AUER | 20576089000146,508,0.00000000000000000000
PV | CANDIDATO | IVAN CARLOS DOS SANTOS | 20568824000170,200,0.00000000000000000000
PR | CANDIDATO | WILSON DA SILVA | 20569266000167,1439,0.00000000000000000000
PV | CANDIDATO | EVANDRO MARTINI | 20573396000173,229,0.00000000000000000000
PTB | CANDIDATO | ELISIANA PAES LEITE | 20579141000118,497,0.00000000000000000000
PTB | CANDIDATO | SEDENIR DE PAULO MESQUITA | 20576858000106,983,0.00000000000000000000
PMN | CANDIDATO | ODAIR MARCOS ROSSA PASA | 20605032000128,2459,0.00000000000000000000
PP | CANDIDATO | MARLOVA ELIZABETE SILVEIRA | 20573422000163,264,0.00000000000000000000
PDT | CANDIDATO | MAICON GUEDES HUGO | 20577012000190,993,0.00000000000000000000
PSL | CANDIDATO | ROSIDETE DA CONSEIÇAO SERPE | 20569293000130,156,0.00000000000000000000
PT | CANDIDATO | ELTON CARLOS WELTER | 20576813000131,31482,0.00000000000000000000
PMDB | CANDIDATO | NEIDE MARIA CARDOSO | 20571728000180,1054,0.00000000000000000000
PTN | CANDIDATO | ANDREIA CRISTINA DA SILVA ALVES | 20576166000168,148,0.00000000000000000000
PPS | CANDIDATO | RENE PAULO FONTANELLI MACHADO | 20571221000127,606,0.00000000000000000000
PSL | CANDIDATO | IVAN CARLOS DE MORAES | 20572056000128,1748,0.00000000000000000000
PSDC | CANDIDATO | ALINE SLEUTJES ROBERTO | 20576032000147,19059,0.00000000000000000000
SD | CANDIDATO | JOSE MARIA ALVES PEREIRA | 20578602000138,10672,0.00000000000000000000
PTB | CANDIDATO | FERNANDO MADUREIRA DA SILVA | 20576846000181,10067,0.00000000000000000000
SD | CANDIDATO | PATRICIA DE OLIVEIRA PASSOS | 20573858000152,236,0.00000000000000000000
PC do B | CANDIDATO | MARCELO ELISIO RIBEIRO SANTIN | 20576221000110,598,0.00000000000000000000
PSC | CANDIDATO | CLEONICE WAGNER NEGRÃO | 20573191000198,335,0.00000000000000000000
PMDB | CANDIDATO | LUIZ CARLOS CAITO QUINTANA | 20568814000134,18225,0.00000000000000000000
PSD | CANDIDATO | GIOCONDO CEZAR CABRAL | 20578632000144,1044,0.00000000000000000000
PSDC | CANDIDATO | SAIONARA APARECIDA DA SILVEIRA GALACHO | 20622898000147,70,0.00000000000000000000
PTB | CANDIDATO | SEBASTIÃO HENRIQUE DE MEDEIROS | 20576163000124,31875,0.00000000000000000000
PSC | CANDIDATO | HUSSEIN BAKRI | 20567237000166,26682,0.00000000000000000000
PP | CANDIDATO | CLAYTON COSTA ROSA | 20568744000114,5496,0.00000000000000000000
PMDB | CANDIDATO | ARTAGÃO DE MATTOS LEÃO JUNIOR | 20569039000131,78594,0.00000000000000000000
PTN | CANDIDATO | NERI TAVARES DA SILVA | 20576511000163,247,0.00000000000000000000
PSL | CANDIDATO | SIDNEI DEMICIO | 20569144000170,4872,0.00000000000000000000
PP | CANDIDATO | JONES DARC DE JESUS | 20570631000153,9712,0.00000000000000000000
PSOL | CANDIDATO | AUGUSTO LUIZ DE LIMA | 20559127000152,1521,0.00000000000000000000
PSD | CANDIDATO | LUCIANO TEIXEIRA ODEBRECHT | 20574797000148,3414,0.00000000000000000000
PSOL | CANDIDATO | JOÃO JOSÉ OLIVEIRA MIRANDA | 20559395000174,199,0.00000000000000000000
PSL | CANDIDATO | SOELI ALVES VAZ | 20568841000107,60,0.00000000000000000000
SD | CANDIDATO | LORI DE FÁTIMA DUQUES RIBEIRO | 20578525000116,6,0.00000000000000000000
PSOL | CANDIDATO | LEANDRO SANTOS DIAS | 20559416000151,1727,0.00000000000000000000
PSL | CANDIDATO | MARIO RENE DE VARGAS GARCIA | 20572305000185,204,0.00000000000000000000
PT do B | CANDIDATO | SIMONE GASPAR TEIXEIRA | 20572893000157,244,0.00000000000000000000
PV | CANDIDATO | NAIR TARTARI | 20569993000124,299,0.00000000000000000000
PSD | CANDIDATO | JURACI LUCIANO DA SILVA | 20577779000110,33892,0.00000000000000000000
PMDB | CANDIDATO | WALDYR ORTENCIO PUGLIESI | 20570103000102,13706,0.00000000000000000000
PV | CANDIDATO | GASPAR DOS SANTOS | 20569443000105,364,0.00000000000000000000
PSDB | CANDIDATO | ELIETE FERRAZ SABINO | 20571730000150,99,0.00000000000000000000
PSL | CANDIDATO | JOSE ALBERTINO DA SILVA | 20571011000139,1555,0.00000000000000000000
PT | CANDIDATO | DIEMERSON ROMERO CASTILHO | 20576942000120,3514,0.00000000000000000000
PDT | CANDIDATO | JOSE EDEGAR PEREIRA | 20576323000135,3598,0.00000000000000000000
PTN | CANDIDATO | ALICIO MAFFRA FILHO | 20604126000182,505,0.00000000000000000000
PSC | CANDIDATO | SIRLENE TAVARES | 20573348000185,6,0.00000000000000000000
PSD | CANDIDATO | ELISANGELA SANTOS CORREA LEITE | 20574447000181,434,0.00000000000000000000
PPS | CANDIDATO | RENATO BAGGIO BERBICZ | 20569029000104,3175,0.00000000000000000000
PMN | CANDIDATO | VALDETH SOUSA SANTOS | 20605076000158,686,0.00000000000000000000
PSDC | CANDIDATO | LEONICE MOTTA VIEIRA | 20576587000199,553,0.00000000000000000000
PPS | CANDIDATO | ARMANDO DIADOSK | 20571926000144,696,0.00000000000000000000
PMDB | CANDIDATO | LUIZ GONZAGA PEGO DE MACEDO | 20572008000130,622,0.00000000000000000000
PSDC | CANDIDATO | PEDRO CONCEIÇÃO DO NASCIMENTO | 20580702000107,161,0.00000000000000000000
PC do B | CANDIDATO | WAGNER SABINO | 20576363000187,566,0.00000000000000000000
PSC | CANDIDATO | EMERSON MIGUEL PETRIV | 20568318000180,12110,0.00000000000000000000
PP | CANDIDATO | CYLLENEO PESSOA PEREIRA JUNIOR | 20572438000151,10065,0.00000000000000000000
PTN | CANDIDATO | EDY PETERSON GENIUS NUNES | 20576031000100,903,0.00000000000000000000
PSD | CANDIDATO | DAIZINARA DA SILVA GONCALVES | 20578689000143,138,0.00000000000000000000
SD | CANDIDATO | WALDIRLEI BUENO DE OLIVEIRA | 20574699000100,10926,0.00000000000000000000
PSL | CANDIDATO | GENECI VARGAS SOUTO | 20571435000101,42,0.00000000000000000000
SD | CANDIDATO | PAULO CEZAR NEGRÃO | 20574506000111,5,0.00000000000000000000
PSDC | CANDIDATO | MIGUEL SANTOS DE PAULA | 20580463000187,135,0.00000000000000000000
PMDB | CANDIDATO | CLEITON KIELSE BORDINI CRISOSTOMO | 20572796000164,38318,0.00000000000000000000
PP | CANDIDATO | EFIGENIA DE SOUZA BENEDITO | 20572025000177,526,0.00000000000000000000
SD | CANDIDATO | CLEVERSON DE MORAIS FURTUOSO | 20578212000168,167,0.00000000000000000000
PSDB | CANDIDATO | PEDRO MARIA MARTENDAL DE ARAUJO | 20570725000122,6224,0.00000000000000000000
PSL | CANDIDATO | MARCIO DA SILVA | 20569142000181,488,0.00000000000000000000
PR | CANDIDATO | HEMERSON YUKIO YOKOTA | 20609029000182,18214,0.00000000000000000000
PSTU | CANDIDATO | IVAN RAMOS BERNARDO | 20576860000185,482,0.00000000000000000000
PSDC | CANDIDATO | EDEMILSON FERNANDO VIDAL | 20580010000150,1547,0.00000000000000000000
PSC | CANDIDATO | TANCLÉR ILDEFONSO PAVANI | 20564624000149,334,0.00000000000000000000
PV | CANDIDATO | CARLOS ALBERTO DE ASSIS | 20573380000160,555,0.00000000000000000000
PPS | CANDIDATO | ARISTIDES ALVES RODRIGUES FILHO | 20569327000196,361,0.00000000000000000000
PPS | CANDIDATO | CACILDA DE FATIMA DE MORAES NUNES | 20572456000133,290,0.00000000000000000000
PDT | CANDIDATO | MARIA NYSA MOREIRA NANNI | 20576312000155,1651,0.00000000000000000000
SD | CANDIDATO | AILTON ALVES DE OLIVEIRA | 20605021000148,8159,0.00000000000000000000
PPL | CANDIDATO | HUGO JOSE LANDGRAF JUNIOR | 20573252000117,368,0.00000000000000000000
PTN | CANDIDATO | DIRCEU RAMOS | 20604121000150,462,0.00000000000000000000
PPL | CANDIDATO | NILSON PROHNI | 20568917000102,64,0.00000000000000000000
PV | CANDIDATO | JOÃO BATISTA BELTRAME | 20570571000179,7973,0.00000000000000000000
PP | CANDIDATO | JOSE RONALDO FERREIRA | 20572972000168,16332,0.00000000000000000000
PSL | CANDIDATO | JAMAL ALI MOHAMAD ABOU FARES | 20572416000191,1942,0.00000000000000000000
PV | CANDIDATO | LUIZ CARLOS DOS SANTOS | 20572792000186,895,0.00000000000000000000
PSDC | CANDIDATO | JOÃO ROCHA DE SOUZA | 20580905000195,458,0.00000000000000000000
PV | CANDIDATO | JOSE ROBERTO ACIOLLI DOS SANTOS | 20571207000123,23173,0.00000000000000000000
PTN | CANDIDATO | ALCIONE MENINO DOS SANTOS | 20632459000115,51,0.00000000000000000000
PTC | CANDIDATO | EVERSON CAMARGO | 20581296000199,806,0.00000000000000000000
PSC | CANDIDATO | NORBERTO NICOLAU SENS | 20567436000174,834,0.00000000000000000000
PSDB | CANDIDATO | MARILEI DE SOUZA LIMA | 20572342000193,43549,0.00000000000000000000
PPS | CANDIDATO | CLARISDETE RODRIGUES | 20578752000141,17,0.00000000000000000000
PPS | CANDIDATO | NELSON FERREIRA | 20573035000127,418,0.00000000000000000000
PTN | CANDIDATO | ALGACIR COSTA PORTES | 20604125000138,0,0.00000000000000000000
PSD | CANDIDATO | TONIEL MOCELIN CECCON | 20578946000147,21,0.00000000000000000000
PPL | CANDIDATO | MARCIO JOSE PACHECO RAMOS | 20569035000153,24855,0.00000000000000000000
PTN | CANDIDATO | HAROLDO GUARNERI JUNIOR | 20604144000164,6,0.00000000000000000000
PEN | CANDIDATO | JAIR SOARES | 20579834000100,5325,0.00000000000000000000
PTB | CANDIDATO | SAMIR FOUANI | 20577007000188,1941,0.00000000000000000000
PRB | CANDIDATO | NIVON CARLOS DO NASCIMENTO | 20576479000116,557,0.00000000000000000000
PTB | CANDIDATO | AMAURI DOLENGA DOS SANTOS | 20576830000179,6772,0.00000000000000000000
PV | CANDIDATO | SILVANE ALVES DA VEIGA | 20605173000140,91,0.00000000000000000000
PTC | CANDIDATO | GILDA FERREIRA ZANETTI | 20581962000199,103,0.00000000000000000000
PV | CANDIDATO | VALTER MAINARDES | 20571153000104,331,0.00000000000000000000
PMDB | CANDIDATO | JAIRO JOSE MELO | 20572254000191,3960,0.00000000000000000000
PSL | CANDIDATO | ANDERSON RENAN PACHECO | 20569442000160,208,0.00000000000000000000
PP | CANDIDATO | RUBENS FRANZIN MANOEL | 20572596000101,6143,0.00000000000000000000
PTB | CANDIDATO | LUIS FELIPE DUARTE | 20576055000151,200,0.00000000000000000000
PTN | CANDIDATO | IVONE DE JESUS SOARES | 20632379000160,76,0.00000000000000000000
PDT | CANDIDATO | MARCIO ARTUR DE MATOS | 20576793000107,20508,0.00000000000000000000
PMDB | CANDIDATO | LIGIA FABRIS BERG | 20573295000100,172,0.00000000000000000000
PT | CANDIDATO | ANATERRA VIANA | 20576170000126,1913,0.00000000000000000000
PSDC | CANDIDATO | SONIA MARA LANDARIN PRINS DE CRISTO | 20622971000180,164,0.00000000000000000000
PRP | CANDIDATO | SHIRLEY PAGNOSI CORRÊA | 20632301000145,684,0.00000000000000000000
PTC | CANDIDATO | SERGIO BATISTA PALOMBO | 20679939000131,185,0.00000000000000000000
PSC | CANDIDATO | EDISON CARNEIRO RODRIGUES | 20573694000163,664,0.00000000000000000000
PV | CANDIDATO | FLAVIO CARLOS DA SILVA | 20572934000105,459,0.00000000000000000000
PV | CANDIDATO | JOSE VICENTE DE LIMA | 20570998000177,3255,0.00000000000000000000
PV | CANDIDATO | MARCIO ROGERIO KAVITSKI | 20569202000166,296,0.00000000000000000000
PSDB | CANDIDATO | ADEMAR LUIZ TRAIANO | 20570653000113,69740,0.00000000000000000000
PHS | CANDIDATO | WAGNER MILANEZI | 20570132000166,3221,0.00000000000000000000
PTB | CANDIDATO | MAURO BERTOLI | 20576671000102,6846,0.00000000000000000000
PRP | CANDIDATO | FABIANO DOS SANTOS | 20576129000150,1863,0.00000000000000000000
PT | CANDIDATO | RODOLFO BRANDÃO DE PROENÇA JARUGA | 20576169000100,1153,0.00000000000000000000
PMDB | CANDIDATO | JOSE APARECIDA MOREIRA DA ROSA | 20571565000136,411,0.00000000000000000000
SD | CANDIDATO | RITA APARECIDA DE OLIVEIRA | 20574399000121,5820,0.00000000000000000000
PPL | CANDIDATO | ANDERSON LUIZ BUENO | 20569150000128,4787,0.00000000000000000000
PTN | CANDIDATO | ALCENI VIEIRA DOS SANTOS | 20576891000136,622,0.00000000000000000000
PT | CANDIDATO | ROBERTO FERNANDES DA SILVA | 20576857000161,1359,0.00000000000000000000
PSC | CANDIDATO | PAULO CESAR FRISSO | 20567304000142,4168,0.00000000000000000000
PHS | CANDIDATO | IZAQUE DE ALMEIDA CORREIA | 20572513000184,2220,0.00000000000000000000
PR | CANDIDATO | JOSE ROQUE NETO | 20569390000122,6660,0.00000000000000000000
PV | CANDIDATO | AMANDA ESTEVÃO | 20569365000149,240,0.00000000000000000000
PSC | CANDIDATO | ADEMIR ZACARIAS DA SILVA | 20567474000127,2450,0.00000000000000000000
PTN | CANDIDATO | MARCOS MANOEL DA SILVA | 20579620000134,506,0.00000000000000000000
SD | CANDIDATO | PAULO RENATO ELACHE COUTINHO | 20574606000148,21373,0.00000000000000000000
PP | CANDIDATO | OILSON MULLER | 20571300000138,6,0.00000000000000000000
PEN | CANDIDATO | JOÃO DA SILVA CRUZ | 20614189000110,276,0.00000000000000000000
PMN | CANDIDATO | CINEIDE APARECIDA MIRANDA VASCONCELOS | 20654579000113,87,0.00000000000000000000
PMDB | CANDIDATO | ELISABETE MENDES DOS SANTOS DA COSTA | 20572664000132,196,0.00000000000000000000
PDT | CANDIDATO | ELOIZIO ZANARDI | 20660926000110,258,0.00000000000000000000
PSC | CANDIDATO | NEUZA APARECIDA DA SILVA | 20571829000151,10,0.00000000000000000000
PV | CANDIDATO | ROSEMARI KALLUF SCHNECK | 20571721000169,482,0.00000000000000000000
PSL | CANDIDATO | YEDA MARIA JOSE DE PAULA | 20569301000148,29,0.00000000000000000000
PPS | CANDIDATO | ROSILENE DO NASCIMENTO ANTUNES | 20569300000101,240,0.00000000000000000000
SD | CANDIDATO | ELIAS RODOVANSKI | 20574549000105,5270,0.00000000000000000000
PSC | CANDIDATO | MARISA MASSA LUCAS | 20571752000110,10736,0.00000000000000000000
PPS | CANDIDATO | NELSON LOPES DE FREITAS | 20571479000123,1335,0.00000000000000000000
PV | CANDIDATO | ADRIANO DA SILVA DE OLIVEIRA | 20569129000122,1670,0.00000000000000000000
PV | CANDIDATO | VALENTIN BONTORIN | 20570504000154,458,0.00000000000000000000
PV | CANDIDATO | MICHAEL PUQUEVIS ANDO | 20569512000180,897,0.00000000000000000000
PSDC | CANDIDATO | GERCEO DILBERTI | 20622962000190,96,0.00000000000000000000
PV | CANDIDATO | PEDRO LAZINA BACIL | 20569682000165,408,0.00000000000000000000
PSDC | CANDIDATO | PEDRO CARDOSO DOS SANTOS | 20581501000116,184,0.00000000000000000000
PSD | CANDIDATO | IVALINO GARCIA | 20577324000102,1277,0.00000000000000000000
PTN | CANDIDATO | ANA DELANE SZMIDT | 20576916000100,104,0.00000000000000000000
PMN | CANDIDATO | GEORGE LUIZ DE OLIVEIRA | 20572849000147,11694,0.00000000000000000000
PSL | CANDIDATO | CARLOS CEZAR ALVES | 20570091000108,661,0.00000000000000000000
PSC | CANDIDATO | WALDIR TURCHETTI DA COSTA LEITE | 20571912000120,10750,0.00000000000000000000
PSD | CANDIDATO | EMILIANO AUGUSTO ROCHA GOMES | 20578322000120,15013,0.00000000000000000000
PSB | CANDIDATO | MILTON ANTONIO OLIVEIRA DIGIACOMO | 20572481000117,655,0.00000000000000000000
PMN | CANDIDATO | JOSÉ APARECIDO DA ROCHA | 20605112000183,263,0.00000000000000000000
PSOL | CANDIDATO | LUCIMERI COSTA SCHULMAISTER | 20559487000154,328,0.00000000000000000000
PDT | CANDIDATO | BIANCA TIBAES DE OLIVEIRA PORTUGAL | 20576183000103,460,0.00000000000000000000
PP | CANDIDATO | EDSON FERREIRA DA SILVA | 20569211000157,1230,0.00000000000000000000
PV | CANDIDATO | MARLI TERESINHA MARCELINO DOS SANTOS | 20569276000100,0,0.00000000000000000000
PMDB | CANDIDATO | ANTONIO CARLOS DE MARIO | 20570608000169,594,0.00000000000000000000
PPS | CANDIDATO | GERSON DO AMARAL | 20573587000135,117,0.00000000000000000000
PSL | CANDIDATO | ROBERTO CAUNETO PICORELI | 20569107000162,35626,0.00000000000000000000
PSC | CANDIDATO | AGUINALDO ROBERTO DO CARMO | 20568088000150,2422,0.00000000000000000000
PT | CANDIDATO | MARIA MICHELI MOCELIN | 20576091000115,6871,0.00000000000000000000
PSC | CANDIDATO | BENTO ELISEO ALEIXO | 20564143000133,12286,0.00000000000000000000
PSC | CANDIDATO | EWERSON ALVES DA SILVA | 20564174000194,2214,0.00000000000000000000
PV | CANDIDATO | MARCOS VIEIRA | 20571940000148,4593,0.00000000000000000000
PSC | CANDIDATO | CLAUDIO APARECIDO ALVES PALOZI | 20571455000174,39364,0.00000000000000000000
PTB | CANDIDATO | PAULO GEOVANE CLARIMUNDO | 20576095000101,323,0.00000000000000000000
PPS | CANDIDATO | WALDIR FRARES | 20571140000127,787,0.00000000000000000000
PSDB | CANDIDATO | LIZMARI VIEIRA DO PRADO FONTANA | 20572511000195,3151,0.00000000000000000000
PDT | CANDIDATO | MARCELO EDUARDO HENRIQUE | 20577027000159,837,0.00000000000000000000
PRP | CANDIDATO | ELICEU PALMONARI | 20576659000106,5368,0.00000000000000000000
PSC | CANDIDATO | ALDIVINO MARQUES DA CRUZ NETO | 20571968000185,15576,0.00000000000000000000
PSC | CANDIDATO | JOÃO ALBERTO BOMBARDELLI | 20567297000189,6291,0.00000000000000000000
PMN | CANDIDATO | JANINE DE ALMEIDA VIEIRA | 20573676000181,425,0.00000000000000000000
PSL | CANDIDATO | JOSE ADAIR RODRIGUES BRIZOLA | 20573365000112,3454,0.00000000000000000000
PT | CANDIDATO | SALETE BAGOLIN BEZ | 20576969000112,5328,0.00000000000000000000
PSC | CANDIDATO | TÉTIS MARISA BELMONTE DA CRUZ | 20571213000180,1920,0.00000000000000000000
PV | CANDIDATO | JOSÉ RIBEIRO SOBRINHO | 20571515000159,485,0.00000000000000000000
